
INFO 	2016-07-12 16:49:39 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-12 16:49:39 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-12 16:49:39 	[configuration] 	data for b742f3789_8478dfc31 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31
INFO 	2016-07-12 16:49:39 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-12 16:49:47 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-07-12 16:50:09 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0210/job_scripts/5995046: line 773:   538 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam_v2.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
INFO 	2016-07-12 23:17:43 	[downstream_bam] 	number of TADs = 2145
TIME 	2016-07-12 23:17:59 	[downstream_bam] 	step time for completion (seconds) = 23270


INFO 	2016-07-12 23:18:01 	[pipeline] 	completed successfully
TIME 	2016-07-12 23:18:01 	[pipeline] 	total time for completion (seconds) = 23302

