
INFO 	2016-06-13 10:08:29 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:08:29 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:08:29 	[configuration] 	data for b7fa2d8db_7284b867a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a
INFO 	2016-06-13 10:08:29 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:08:48 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:09:24 	[preliminary_checks] 	b7fa2d8db_7284b867a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:37:47 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:37:49 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:37:51 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:37:51 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:38:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:38:07 	[preliminary_checks] 	step time for completion (seconds) = 1725

INFO 	2016-06-13 10:38:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:38:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:38:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:38:29 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:38:29 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:38:31 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:38:31 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:38:31 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:43:49 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:43:49 	[trim_reads_trimmomatic] 	reads after trimming = 357097187
INFO 	2016-06-13 13:44:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 13:44:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 13:44:23 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 13:44:23 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 11152

INFO 	2016-06-13 13:44:25 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 13:44:25 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 13:44:25 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 13:44:25 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 13:44:25 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 13:44:25 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 09:19:16 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/logs/mm10/b7fa2d8db_7284b867a_align_and_merge_paired_end.log
TIME 	2016-06-14 09:27:40 	[align_and_merge] 	step time for completion (seconds) = 70995

INFO 	2016-06-14 09:27:58 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 10:58:31 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.963076592368
INFO 	2016-06-14 10:58:31 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.963458692829
INFO 	2016-06-14 10:58:31 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 238328636
INFO 	2016-06-14 10:58:31 	[post_mapping_statistics] 	counts-to-distance slope = -1.17026862747
TIME 	2016-06-14 10:58:50 	[post_mapping_statistics] 	step time for completion (seconds) = 5453

INFO 	2016-06-14 10:59:43 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 10:59:43 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/filtered_reads
INFO 	2016-06-14 10:59:43 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-14 10:59:43 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/self_circle
INFO 	2016-06-14 10:59:43 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 11:52:57 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 11:57:24 	[reads_filtering] 	step time for completion (seconds) = 3512

INFO 	2016-06-14 11:57:27 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/plots/mm10/post_filtering_statistics:
INFO 	2016-06-14 11:57:27 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-14 11:57:27 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-14 11:57:27 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-14 12:52:00 	[post_filtering_statistics] 	step time for completion (seconds) = 3273

INFO 	2016-06-14 12:52:02 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 178 files...
TIME 	2016-06-14 16:38:40 	[map_to_bam] 	step time for completion (seconds) = 13598

INFO 	2016-06-14 16:38:55 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-14 19:17:02 	[downstream_bam] 	number of TADs = 1913
TIME 	2016-06-14 19:17:13 	[downstream_bam] 	step time for completion (seconds) = 9498

INFO 	2016-06-14 19:17:14 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-14 19:17:14 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/fastqs_processed
INFO 	2016-06-14 19:17:14 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/mapped_reads
TIME 	2016-06-14 19:17:15 	[clean_up] 	step time for completion (seconds) = 1


INFO 	2016-06-14 19:17:17 	[pipeline] 	completed successfully
TIME 	2016-06-14 19:17:17 	[pipeline] 	total time for completion (seconds) = 119328

