
INFO 	2016-06-13 11:27:44 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 11:27:44 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:27:44 	[configuration] 	data for b7fa2d8db_73f11d923 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923
INFO 	2016-06-13 11:27:44 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 11:28:05 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 11:28:39 	[preliminary_checks] 	b7fa2d8db_73f11d923 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:55:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 11:55:57 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 11:55:59 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 11:55:59 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 11:56:20 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 11:56:20 	[preliminary_checks] 	step time for completion (seconds) = 1663

INFO 	2016-06-13 11:56:22 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 11:56:22 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 11:56:22 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 11:56:47 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 11:56:47 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 25

INFO 	2016-06-13 11:56:49 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 11:56:49 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 11:56:49 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 14:49:44 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 14:49:44 	[trim_reads_trimmomatic] 	reads after trimming = 332273341
INFO 	2016-06-13 14:50:18 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 14:50:18 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 14:50:18 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 14:50:18 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10409

INFO 	2016-06-13 14:50:20 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 14:50:20 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 14:50:20 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 14:50:20 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 14:50:20 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 14:50:20 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 09:53:40 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/logs/mm10/b7fa2d8db_73f11d923_align_and_merge_paired_end.log
TIME 	2016-06-14 10:03:53 	[align_and_merge] 	step time for completion (seconds) = 69213

INFO 	2016-06-14 10:04:08 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 11:24:50 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.96885204823
INFO 	2016-06-14 11:24:50 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.969710401774
INFO 	2016-06-14 11:24:50 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 224065913
INFO 	2016-06-14 11:24:50 	[post_mapping_statistics] 	counts-to-distance slope = -1.17048051698
TIME 	2016-06-14 11:24:58 	[post_mapping_statistics] 	step time for completion (seconds) = 4850

INFO 	2016-06-14 11:25:47 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 11:25:47 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/filtered_reads
INFO 	2016-06-14 11:25:47 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-14 11:25:47 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/self_circle
INFO 	2016-06-14 11:25:47 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 12:12:50 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 12:19:25 	[reads_filtering] 	step time for completion (seconds) = 3265

INFO 	2016-06-14 12:19:26 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/plots/mm10/post_filtering_statistics:
INFO 	2016-06-14 12:19:26 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-14 12:19:26 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-14 12:19:26 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-14 13:07:12 	[post_filtering_statistics] 	step time for completion (seconds) = 2866

INFO 	2016-06-14 13:07:28 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 167 files...
TIME 	2016-06-14 16:36:35 	[map_to_bam] 	step time for completion (seconds) = 12547

INFO 	2016-06-14 16:36:56 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-14 19:13:16 	[downstream_bam] 	number of TADs = 1922
TIME 	2016-06-14 19:13:41 	[downstream_bam] 	step time for completion (seconds) = 9405

INFO 	2016-06-14 19:13:43 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-14 19:13:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/fastqs_processed
INFO 	2016-06-14 19:13:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/mapped_reads
TIME 	2016-06-14 19:14:31 	[clean_up] 	step time for completion (seconds) = 48


INFO 	2016-06-14 19:14:33 	[pipeline] 	completed successfully
TIME 	2016-06-14 19:14:33 	[pipeline] 	total time for completion (seconds) = 114409

