
INFO 	2016-07-08 13:11:10 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:11:10 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:11:10 	[configuration] 	data for cb6b65581_3809c7fe5 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5
INFO 	2016-07-08 13:11:10 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:11:38 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 13:12:23 	[preliminary_checks] 	cb6b65581_3809c7fe5 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:26:21 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:26:23 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:26:25 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:26:25 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 13:27:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:27:08 	[preliminary_checks] 	step time for completion (seconds) = 887

INFO 	2016-07-08 13:27:10 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:27:10 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:27:10 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 13:27:38 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:27:38 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 28

INFO 	2016-07-08 13:27:40 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:27:40 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:27:40 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 15:23:50 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 15:23:50 	[trim_reads_trimmomatic] 	reads after trimming = 239295100
INFO 	2016-07-08 15:24:27 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 15:24:27 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 15:24:27 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 15:24:27 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7007

INFO 	2016-07-08 15:24:29 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-07-08 15:24:29 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-07-08 15:24:29 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-07-08 15:24:29 	[align_and_merge] 	read length = 76
INFO 	2016-07-08 15:24:29 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 15:24:29 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-07-09 04:26:24 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/logs/hg38_mmtv/cb6b65581_3809c7fe5_align_and_merge_paired_end.log
TIME 	2016-07-09 04:30:31 	[align_and_merge] 	step time for completion (seconds) = 47162

INFO 	2016-07-09 04:30:52 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-07-09 05:31:38 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.972555380365
INFO 	2016-07-09 05:31:38 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.924901884744
INFO 	2016-07-09 05:31:38 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 224533949
INFO 	2016-07-09 05:31:38 	[post_mapping_statistics] 	counts-to-distance slope = -1.38219260024
TIME 	2016-07-09 05:32:03 	[post_mapping_statistics] 	step time for completion (seconds) = 3671

INFO 	2016-07-09 05:32:36 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-07-09 05:32:36 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/results/hg38_mmtv/filtered_reads
INFO 	2016-07-09 05:32:36 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-07-09 05:32:36 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-07-09 05:32:36 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-07-09 06:07:30 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-07-09 06:09:51 	[reads_filtering] 	step time for completion (seconds) = 2266

INFO 	2016-07-09 06:09:54 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-07-09 06:09:54 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-07-09 06:09:54 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-07-09 06:09:54 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-07-09 06:33:56 	[post_filtering_statistics] 	step time for completion (seconds) = 1442

INFO 	2016-07-09 06:34:18 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 112 files...
TIME 	2016-07-09 09:08:44 	[map_to_bam] 	step time for completion (seconds) = 9266

INFO 	2016-07-09 09:08:48 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-07-09 15:36:11 	[downstream_bam] 	number of TADs = 3053
TIME 	2016-07-09 15:36:25 	[downstream_bam] 	step time for completion (seconds) = 23257

INFO 	2016-07-09 15:36:27 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-07-09 15:36:27 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/fastqs_processed
INFO 	2016-07-09 15:36:27 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_3809c7fe5/mapped_reads
TIME 	2016-07-09 15:36:28 	[clean_up] 	step time for completion (seconds) = 1


INFO 	2016-07-09 15:36:30 	[pipeline] 	completed successfully
TIME 	2016-07-09 15:36:30 	[pipeline] 	total time for completion (seconds) = 95120

