
INFO 	2016-09-15 17:48:47 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-09-15 17:48:47 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-15 17:48:47 	[configuration] 	data for dc3a1e069_f708c2c20 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20
INFO 	2016-09-15 17:48:47 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-09-15 17:49:29 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-09-15 17:50:10 	[preliminary_checks] 	dc3a1e069_f708c2c20 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-15 18:12:15 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-09-15 18:12:17 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-09-15 18:12:18 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-09-15 18:12:19 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-09-15 18:12:49 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-09-15 18:12:49 	[preliminary_checks] 	step time for completion (seconds) = 1361

INFO 	2016-09-15 18:12:51 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-09-15 18:12:51 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-09-15 18:12:51 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-09-15 18:13:12 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-09-15 18:13:12 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-09-15 18:13:14 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-09-15 18:13:14 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-09-15 18:13:14 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-09-15 21:00:34 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-09-15 21:00:34 	[trim_reads_trimmomatic] 	reads after trimming = 323615751
INFO 	2016-09-15 21:01:14 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-09-15 21:01:14 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/fastqs_processed/trimmomatic/paired_end
INFO 	2016-09-15 21:01:14 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-09-15 21:01:15 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10081

INFO 	2016-09-15 21:01:16 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-09-15 21:01:16 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-09-15 21:01:16 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-09-15 21:01:16 	[align_and_merge] 	read length = 75
INFO 	2016-09-15 21:01:17 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-09-15 21:01:17 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-09-16 17:06:13 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/logs/hg38_mmtv/dc3a1e069_f708c2c20_align_and_merge_paired_end.log
TIME 	2016-09-16 17:15:49 	[align_and_merge] 	step time for completion (seconds) = 72873

INFO 	2016-09-16 17:16:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-09-16 18:47:01 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.05123338079
INFO 	2016-09-16 18:47:01 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.0361948977
INFO 	2016-09-16 18:47:01 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 369422288
INFO 	2016-09-16 18:47:01 	[post_mapping_statistics] 	counts-to-distance slope = -1.28761705321
TIME 	2016-09-16 18:47:30 	[post_mapping_statistics] 	step time for completion (seconds) = 5466

INFO 	2016-09-16 18:48:20 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-09-16 18:48:20 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/results/hg38_mmtv/filtered_reads
INFO 	2016-09-16 18:48:20 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-09-16 18:48:20 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_f708c2c20/results/hg38_mmtv/excluded_reads/self_circle
