
INFO 	2016-07-04 11:01:12 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-04 11:01:12 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-04 11:01:12 	[configuration] 	data for e4aa8d54f_bb16b8aae will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_bb16b8aae
INFO 	2016-07-04 11:01:12 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-04 11:01:26 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-04 11:02:05 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-07-04 20:19:34 	[downstream_bam] 	number of TADs = 3145
TIME 	2016-07-04 20:20:02 	[downstream_bam] 	step time for completion (seconds) = 33478


INFO 	2016-07-04 20:20:04 	[pipeline] 	completed successfully
TIME 	2016-07-04 20:20:04 	[pipeline] 	total time for completion (seconds) = 33533

