
INFO 	2016-06-14 19:21:26 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-14 19:21:26 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 19:21:26 	[configuration] 	data for e6588f786_56e7062b9 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9
INFO 	2016-06-14 19:21:26 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-14 19:21:33 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-14 19:21:53 	[preliminary_checks] 	e6588f786_56e7062b9 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 19:26:48 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-14 19:26:49 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 19:26:51 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 19:26:51 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-14 19:27:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-14 19:27:07 	[preliminary_checks] 	step time for completion (seconds) = 315

INFO 	2016-06-14 19:27:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-14 19:27:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-14 19:27:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-14 19:27:28 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-14 19:27:28 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-06-14 19:27:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-14 19:27:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-14 19:27:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-14 20:14:52 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-14 20:14:52 	[trim_reads_trimmomatic] 	reads after trimming = 71846623
INFO 	2016-06-14 20:15:11 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-14 20:15:11 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-14 20:15:11 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-14 20:15:11 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2862

INFO 	2016-06-14 20:15:13 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-14 20:15:13 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-14 20:15:13 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-14 20:15:13 	[align_and_merge] 	read length = 76
INFO 	2016-06-14 20:15:13 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-14 20:15:13 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 23:17:01 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/logs/mm10/e6588f786_56e7062b9_align_and_merge_paired_end.log
TIME 	2016-06-14 23:17:49 	[align_and_merge] 	step time for completion (seconds) = 10956

INFO 	2016-06-14 23:18:02 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 23:33:58 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.77059935023
INFO 	2016-06-14 23:33:58 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.767978572911
INFO 	2016-06-14 23:33:58 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 41947437
INFO 	2016-06-14 23:33:58 	[post_mapping_statistics] 	counts-to-distance slope = -0.9659190658
TIME 	2016-06-14 23:34:06 	[post_mapping_statistics] 	step time for completion (seconds) = 963

INFO 	2016-06-14 23:34:14 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 23:34:14 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/filtered_reads
INFO 	2016-06-14 23:34:14 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-14 23:34:14 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/self_circle
INFO 	2016-06-14 23:34:14 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 23:42:56 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 23:43:11 	[reads_filtering] 	step time for completion (seconds) = 544

INFO 	2016-06-14 23:43:13 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/plots/mm10/post_filtering_statistics:
INFO 	2016-06-14 23:43:13 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-14 23:43:13 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-14 23:43:13 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-14 23:49:18 	[post_filtering_statistics] 	step time for completion (seconds) = 365

INFO 	2016-06-14 23:49:20 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 25 files...
TIME 	2016-06-15 00:25:06 	[map_to_bam] 	step time for completion (seconds) = 2146

INFO 	2016-06-15 00:25:09 	[downstream_bam] 	perform several downstream analyses
