
INFO 	2016-06-08 11:20:38 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:20:38 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:20:38 	[configuration] 	data for eaed0e91e_2a3b69a85 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85
INFO 	2016-06-08 11:20:38 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:21:07 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-08 11:21:43 	[preliminary_checks] 	eaed0e91e_2a3b69a85 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:34:57 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-08 11:34:59 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:35:00 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:35:00 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:35:18 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:35:18 	[preliminary_checks] 	step time for completion (seconds) = 817

INFO 	2016-06-08 11:35:20 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:35:20 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:35:20 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-08 11:35:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:35:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-06-08 11:35:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:35:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:35:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 13:08:20 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 13:08:21 	[trim_reads_trimmomatic] 	reads after trimming = 185175591
INFO 	2016-06-08 13:08:51 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 13:08:51 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 13:08:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 13:08:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5591

INFO 	2016-06-08 13:08:53 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-08 13:08:53 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-08 13:08:53 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-08 13:08:53 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 13:08:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 13:08:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 23:36:57 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/logs/hg38_mmtv/eaed0e91e_2a3b69a85_align_and_merge_paired_end.log
TIME 	2016-06-08 23:39:43 	[align_and_merge] 	step time for completion (seconds) = 37850

INFO 	2016-06-08 23:39:56 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-09 00:29:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.01815350491
INFO 	2016-06-09 00:29:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.978347124595
INFO 	2016-06-09 00:29:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 132155868
INFO 	2016-06-09 00:29:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.15949768246
TIME 	2016-06-09 00:29:25 	[post_mapping_statistics] 	step time for completion (seconds) = 2969

INFO 	2016-06-09 00:29:54 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-09 00:29:54 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/filtered_reads
INFO 	2016-06-09 00:29:54 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-09 00:29:54 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-09 00:29:54 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-09 01:00:55 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-09 01:03:31 	[reads_filtering] 	step time for completion (seconds) = 2044

INFO 	2016-06-09 01:03:34 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-09 01:03:34 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-09 01:03:34 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-09 01:03:34 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-09 01:27:37 	[post_filtering_statistics] 	step time for completion (seconds) = 1444

INFO 	2016-06-09 01:27:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 100 files...
TIME 	2016-06-09 03:51:26 	[map_to_bam] 	step time for completion (seconds) = 8618

INFO 	2016-06-09 03:51:36 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-09 10:15:01 	[downstream_bam] 	number of TADs = 3297
TIME 	2016-06-09 10:15:23 	[downstream_bam] 	step time for completion (seconds) = 23027

INFO 	2016-06-09 10:15:25 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-09 10:15:25 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/fastqs_processed
INFO 	2016-06-09 10:15:25 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_2a3b69a85/mapped_reads
TIME 	2016-06-09 10:15:25 	[clean_up] 	step time for completion (seconds) = 0


INFO 	2016-06-09 10:15:27 	[pipeline] 	completed successfully
TIME 	2016-06-09 10:15:27 	[pipeline] 	total time for completion (seconds) = 82489

