
INFO 	2016-06-08 11:30:47 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:30:47 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:30:47 	[configuration] 	data for eaed0e91e_db4f304ee will be stored at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee
INFO 	2016-06-08 11:30:47 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:30:55 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-08 11:31:19 	[preliminary_checks] 	eaed0e91e_db4f304ee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:43:23 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-08 11:43:25 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-08 11:43:26 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-08 11:43:26 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-08 11:43:28 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:43:46 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:43:46 	[preliminary_checks] 	step time for completion (seconds) = 749

INFO 	2016-06-08 11:43:48 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:43:48 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:43:48 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-08 11:44:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:44:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-06-08 11:44:08 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:44:08 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:44:08 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 13:21:08 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 13:21:09 	[trim_reads_trimmomatic] 	reads after trimming = 186323521
INFO 	2016-06-08 13:21:39 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 13:21:39 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 13:21:39 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 13:21:39 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5851
