
INFO 	2016-05-23 18:37:55 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-23 18:37:55 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-23 18:37:55 	[configuration] 	data for f63c93d81_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_7bf1478ce
INFO 	2016-05-23 18:37:55 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-23 18:38:02 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-23 18:38:38 	[preliminary_checks] 	f63c93d81_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-23 18:55:18 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-23 18:55:20 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-23 18:55:21 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-23 18:55:21 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-23 18:55:36 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-23 18:55:36 	[preliminary_checks] 	step time for completion (seconds) = 1020

INFO 	2016-05-23 18:55:38 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-23 18:55:38 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-23 18:55:38 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-23 18:56:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-23 18:56:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 29

INFO 	2016-05-23 18:56:09 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-23 18:56:09 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-23 18:56:09 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-23 20:03:18 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-23 20:03:19 	[trim_reads_trimmomatic] 	reads after trimming = 146826125
INFO 	2016-05-23 20:04:15 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-23 20:04:15 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/f63c93d81_7bf1478ce/fastqs_processed/trimmomatic/paired_end
