
INFO 	2016-06-27 16:08:09 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-27 16:08:09 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-27 16:08:09 	[configuration] 	data for fc3e8b36a_03fc84123 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_03fc84123
INFO 	2016-06-27 16:08:09 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-27 16:08:20 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-27 16:08:43 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-27 23:35:10 	[downstream_bam] 	number of TADs = 2761
TIME 	2016-06-27 23:35:40 	[downstream_bam] 	step time for completion (seconds) = 26817


INFO 	2016-06-27 23:35:42 	[pipeline] 	completed successfully
TIME 	2016-06-27 23:35:42 	[pipeline] 	total time for completion (seconds) = 26853

