
INFO 	2016-07-08 13:10:10 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:10:10 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:10:10 	[configuration] 	data for 2d656cab7_716f7cb4e will be stored at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_716f7cb4e
INFO 	2016-07-08 13:10:10 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:10:18 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 13:10:46 	[preliminary_checks] 	2d656cab7_716f7cb4e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:25:14 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:25:16 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:25:18 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:25:18 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 13:25:36 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:25:36 	[preliminary_checks] 	step time for completion (seconds) = 891

INFO 	2016-07-08 13:25:38 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:25:38 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:25:38 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_716f7cb4e/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 13:25:58 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:25:58 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-07-08 13:25:59 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:25:59 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:25:59 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
