
INFO 	2016-06-09 20:58:04 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-09 20:58:04 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 20:58:04 	[configuration] 	data for 4369ff754_53fa618d2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2
INFO 	2016-06-09 20:58:04 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-09 20:58:34 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-09 20:59:04 	[preliminary_checks] 	4369ff754_53fa618d2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 21:01:52 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-09 21:01:53 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-09 21:01:55 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-09 21:01:55 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-09 21:02:22 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-09 21:02:22 	[preliminary_checks] 	step time for completion (seconds) = 200

INFO 	2016-06-09 21:02:24 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-09 21:02:24 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-09 21:02:24 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-09 21:02:45 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-09 21:02:45 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-06-09 21:02:46 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-09 21:02:46 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-09 21:02:46 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-09 21:29:15 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-09 21:29:15 	[trim_reads_trimmomatic] 	reads after trimming = 33042871
INFO 	2016-06-09 21:29:34 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-09 21:29:34 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-09 21:29:34 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-09 21:29:34 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1608

INFO 	2016-06-09 21:29:36 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-09 21:29:36 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-09 21:29:36 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-09 21:29:36 	[align_and_merge] 	read length = 100
INFO 	2016-06-09 21:29:36 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-09 21:29:36 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-09 23:27:26 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_53fa618d2/logs/mm10/4369ff754_53fa618d2_align_and_merge_paired_end.log
