
INFO 	2016-05-12 09:46:21 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-12 09:46:21 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-12 09:46:21 	[configuration] 	data for 4a13fb79e_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb
INFO 	2016-05-12 09:46:21 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-12 09:46:48 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-12 09:47:18 	[preliminary_checks] 	4a13fb79e_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-12 10:29:17 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-12 10:29:18 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-12 10:29:20 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-12 10:29:20 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-12 10:29:40 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-12 10:29:40 	[preliminary_checks] 	step time for completion (seconds) = 2544

INFO 	2016-05-12 10:29:41 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-12 10:29:41 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-12 10:29:42 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-12 10:30:00 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-12 10:30:00 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-05-12 10:30:02 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-12 10:30:02 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-12 10:30:02 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-12 12:37:55 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-12 12:37:56 	[trim_reads_trimmomatic] 	reads after trimming = 247004153
INFO 	2016-05-12 12:38:22 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-12 12:38:22 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-12 12:38:22 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-12 12:38:22 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7700

INFO 	2016-05-12 12:38:24 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-12 12:38:24 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-12 12:38:24 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-12 12:38:24 	[align_and_merge] 	read length = 75
INFO 	2016-05-12 12:38:24 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-12 12:38:24 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-13 02:14:57 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/logs/hg38_mmtv/4a13fb79e_f34e98deb_align_and_merge_paired_end.log
TIME 	2016-05-13 02:18:28 	[align_and_merge] 	step time for completion (seconds) = 49204

INFO 	2016-05-13 02:18:43 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-13 03:24:22 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.974140386214
INFO 	2016-05-13 03:24:22 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.888852237233
INFO 	2016-05-13 03:24:22 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 178474230
INFO 	2016-05-13 03:24:22 	[post_mapping_statistics] 	counts-to-distance slope = -1.38041312619
TIME 	2016-05-13 03:24:28 	[post_mapping_statistics] 	step time for completion (seconds) = 3946

INFO 	2016-05-13 03:25:00 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-13 03:25:00 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/filtered_reads
INFO 	2016-05-13 03:25:00 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-13 03:25:00 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-13 03:25:00 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-13 04:00:08 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-13 04:01:15 	[reads_filtering] 	step time for completion (seconds) = 2206

INFO 	2016-05-13 04:01:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-13 04:01:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-13 04:01:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-13 04:01:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-13 04:21:04 	[post_filtering_statistics] 	step time for completion (seconds) = 1187

INFO 	2016-05-13 04:21:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 110 files...
TIME 	2016-05-13 07:04:29 	[map_to_bam] 	step time for completion (seconds) = 9803

INFO 	2016-05-13 07:04:36 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-05-13 12:40:23 	[downstream_bam] 	number of TADs = 2795
TIME 	2016-05-13 12:40:41 	[downstream_bam] 	step time for completion (seconds) = 20165

INFO 	2016-05-13 12:40:43 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-05-13 12:40:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/fastqs_processed
INFO 	2016-05-13 12:40:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/mapped_reads
TIME 	2016-05-13 12:40:44 	[clean_up] 	step time for completion (seconds) = 1


INFO 	2016-05-13 12:40:45 	[pipeline] 	completed successfully
TIME 	2016-05-13 12:40:45 	[pipeline] 	total time for completion (seconds) = 96865

