
INFO 	2016-05-19 17:39:19 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-19 17:39:19 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-19 17:39:19 	[configuration] 	data for 4a13fb79e_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb
INFO 	2016-05-19 17:39:19 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-19 17:39:38 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-19 17:40:09 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-05-19 22:40:47 	[downstream_bam] 	number of TADs = 2795
TIME 	2016-05-19 22:40:57 	[downstream_bam] 	step time for completion (seconds) = 18048


INFO 	2016-05-19 22:40:58 	[pipeline] 	completed successfully
TIME 	2016-05-19 22:40:58 	[pipeline] 	total time for completion (seconds) = 18099

