
INFO 	2016-06-14 22:08:05 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-14 22:08:05 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 22:08:05 	[configuration] 	data for 74e57f5e3_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce
INFO 	2016-06-14 22:08:05 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-14 22:08:18 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-14 22:08:48 	[preliminary_checks] 	74e57f5e3_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 22:23:48 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-14 22:23:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 22:23:51 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 22:23:51 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-14 22:24:21 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-14 22:24:21 	[preliminary_checks] 	step time for completion (seconds) = 935

INFO 	2016-06-14 22:24:23 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-14 22:24:23 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-14 22:24:23 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-14 22:24:46 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-14 22:24:46 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-06-14 22:24:48 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-14 22:24:48 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-14 22:24:48 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-15 00:05:13 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-15 00:05:13 	[trim_reads_trimmomatic] 	reads after trimming = 195654744
INFO 	2016-06-15 00:05:44 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-15 00:05:44 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-15 00:05:44 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-15 00:05:45 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6057

INFO 	2016-06-15 00:05:47 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-15 00:05:47 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-15 00:05:47 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-15 00:05:47 	[align_and_merge] 	read length = 75
INFO 	2016-06-15 00:05:47 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-15 00:05:47 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-15 12:37:11 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/logs/hg38_mmtv/74e57f5e3_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-06-15 12:43:47 	[align_and_merge] 	step time for completion (seconds) = 45480

INFO 	2016-06-15 12:44:08 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-15 13:38:10 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.03983730136
INFO 	2016-06-15 13:38:10 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.01636029842
INFO 	2016-06-15 13:38:10 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 142390410
INFO 	2016-06-15 13:38:10 	[post_mapping_statistics] 	counts-to-distance slope = -1.26618180222
TIME 	2016-06-15 13:38:18 	[post_mapping_statistics] 	step time for completion (seconds) = 3250

INFO 	2016-06-15 13:38:49 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-15 13:38:49 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-06-15 13:38:49 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-15 13:38:49 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-15 13:38:49 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-15 14:12:32 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-15 14:15:43 	[reads_filtering] 	step time for completion (seconds) = 2244

INFO 	2016-06-15 14:15:46 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-15 14:15:46 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-15 14:15:46 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-15 14:15:46 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-15 14:45:49 	[post_filtering_statistics] 	step time for completion (seconds) = 1803

INFO 	2016-06-15 14:45:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 109 files...
TIME 	2016-06-15 17:18:01 	[map_to_bam] 	step time for completion (seconds) = 9129

INFO 	2016-06-15 17:18:11 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-15 23:55:57 	[downstream_bam] 	number of TADs = 3452
TIME 	2016-06-15 23:56:19 	[downstream_bam] 	step time for completion (seconds) = 23888

INFO 	2016-06-15 23:56:21 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-15 23:56:21 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/fastqs_processed
INFO 	2016-06-15 23:56:21 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_7bf1478ce/mapped_reads
TIME 	2016-06-15 23:58:00 	[clean_up] 	step time for completion (seconds) = 99


INFO 	2016-06-15 23:58:02 	[pipeline] 	completed successfully
TIME 	2016-06-15 23:58:02 	[pipeline] 	total time for completion (seconds) = 92997

