
INFO 	2016-06-09 16:12:43 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-09 16:12:43 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 16:12:43 	[configuration] 	data for 8b706b410_92b2943b1 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1
INFO 	2016-06-09 16:12:43 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-09 16:13:13 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-09 16:13:37 	[preliminary_checks] 	8b706b410_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 16:15:36 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-09 16:15:37 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-09 16:15:38 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-09 16:15:38 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-09 16:16:16 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-09 16:16:16 	[preliminary_checks] 	step time for completion (seconds) = 160

INFO 	2016-06-09 16:16:17 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-09 16:16:17 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-09 16:16:17 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-09 16:16:37 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-09 16:16:37 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-09 16:16:38 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-09 16:16:38 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-09 16:16:38 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-09 16:36:47 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-09 16:36:47 	[trim_reads_trimmomatic] 	reads after trimming = 26925996
INFO 	2016-06-09 16:37:13 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-09 16:37:13 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-09 16:37:13 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-09 16:37:13 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1236

INFO 	2016-06-09 16:37:14 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-09 16:37:14 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-09 16:37:14 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-09 16:37:14 	[align_and_merge] 	read length = 100
INFO 	2016-06-09 16:37:15 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-09 16:37:15 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-09 18:26:42 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/logs/hg38_mmtv/8b706b410_92b2943b1_align_and_merge_paired_end.log
TIME 	2016-06-09 18:27:18 	[align_and_merge] 	step time for completion (seconds) = 6604

INFO 	2016-06-09 18:27:35 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-09 18:37:28 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.986199841967
INFO 	2016-06-09 18:37:28 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.923227575314
INFO 	2016-06-09 18:37:28 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 15726894
INFO 	2016-06-09 18:37:28 	[post_mapping_statistics] 	counts-to-distance slope = -1.25861062713
TIME 	2016-06-09 18:37:36 	[post_mapping_statistics] 	step time for completion (seconds) = 600

INFO 	2016-06-09 18:37:41 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-09 18:37:41 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/filtered_reads
INFO 	2016-06-09 18:37:41 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-09 18:37:41 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-09 18:37:41 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-09 18:41:51 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-09 18:42:14 	[reads_filtering] 	step time for completion (seconds) = 277

INFO 	2016-06-09 18:42:16 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-09 18:42:16 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-09 18:42:16 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
