
INFO 	2016-07-08 13:00:10 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:00:10 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:00:10 	[configuration] 	data for 8d2ac542f_2733aceea will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_2733aceea
INFO 	2016-07-08 13:00:10 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:00:19 	[configuration] 	species (Drosophila_melanogaster) and assembly version (dm6) extracted from the metadata

INFO 	2016-07-08 13:00:46 	[preliminary_checks] 	8d2ac542f_2733aceea found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:01:54 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:01:55 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:01:57 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:01:57 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/drosophila_melanogaster/dm6/ucsc/dm6_chr2-4XYM.fa
INFO 	2016-07-08 13:02:00 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:02:00 	[preliminary_checks] 	step time for completion (seconds) = 76

INFO 	2016-07-08 13:02:02 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:02:02 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:02:02 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_2733aceea/plots/dm6/raw_fastqs_quality_plots
INFO 	2016-07-08 13:02:24 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:02:24 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-07-08 13:02:26 	[trim_reads_trimmomatic] 	sequencing type = PE
