
INFO 	2016-05-25 13:12:03 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-25 13:12:03 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-25 13:12:03 	[configuration] 	data for 9a7c4a68d_bb16b8aae will be stored at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae
INFO 	2016-05-25 13:12:03 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-25 13:12:15 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-25 13:12:39 	[preliminary_checks] 	9a7c4a68d_bb16b8aae found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-25 13:44:28 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-25 13:44:29 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-25 13:44:31 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-25 13:44:31 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-25 13:45:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-25 13:45:08 	[preliminary_checks] 	step time for completion (seconds) = 1950

INFO 	2016-05-25 13:45:10 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-25 13:45:10 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-25 13:45:10 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-25 13:45:35 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-25 13:45:35 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 25

INFO 	2016-05-25 13:45:37 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-25 13:45:37 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-25 13:45:37 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-25 17:11:11 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-25 17:11:11 	[trim_reads_trimmomatic] 	reads after trimming = 277084272
INFO 	2016-05-25 17:11:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-25 17:11:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-25 17:11:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-25 17:11:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 12370

INFO 	2016-05-25 17:11:49 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-25 17:11:49 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-25 17:11:49 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-25 17:11:49 	[align_and_merge] 	read length = 125
INFO 	2016-05-25 17:11:49 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-25 17:11:49 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-26 09:55:59 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/logs/hg38_mmtv/9a7c4a68d_bb16b8aae_align_and_merge_paired_end.log
TIME 	2016-05-26 10:02:52 	[align_and_merge] 	step time for completion (seconds) = 60663

INFO 	2016-05-26 10:03:11 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-26 11:41:19 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.04214595767
INFO 	2016-05-26 11:41:19 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.0249954678
INFO 	2016-05-26 11:41:19 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 869273748
INFO 	2016-05-26 11:41:19 	[post_mapping_statistics] 	counts-to-distance slope = -0.699849499404
TIME 	2016-05-26 11:41:26 	[post_mapping_statistics] 	step time for completion (seconds) = 5896

INFO 	2016-05-26 11:42:04 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-26 11:42:04 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/results/hg38_mmtv/filtered_reads
INFO 	2016-05-26 11:42:04 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-26 11:42:04 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-26 11:42:04 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-26 12:33:06 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-26 12:33:35 	[reads_filtering] 	step time for completion (seconds) = 3127

INFO 	2016-05-26 12:33:36 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-26 12:33:36 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-26 12:33:36 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-26 12:33:36 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-26 12:46:45 	[post_filtering_statistics] 	step time for completion (seconds) = 789

INFO 	2016-05-26 12:46:51 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 138 files...
TIME 	2016-05-26 15:51:26 	[map_to_bam] 	step time for completion (seconds) = 11075

INFO 	2016-05-26 15:51:31 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0314/job_scripts/4120674: line 767: 47381 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
INFO 	2016-05-26 19:49:37 	[downstream_bam] 	number of TADs = 155
TIME 	2016-05-26 19:50:11 	[downstream_bam] 	step time for completion (seconds) = 14320

INFO 	2016-05-26 19:50:16 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-05-26 19:50:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/fastqs_processed
INFO 	2016-05-26 19:50:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_bb16b8aae/mapped_reads
TIME 	2016-05-26 19:51:17 	[clean_up] 	step time for completion (seconds) = 61


INFO 	2016-05-26 19:51:19 	[pipeline] 	completed successfully
TIME 	2016-05-26 19:51:19 	[pipeline] 	total time for completion (seconds) = 110356

