
INFO 	2016-06-09 21:15:31 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-09 21:15:31 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 21:15:31 	[configuration] 	data for HindIII_T0 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T0
INFO 	2016-06-09 21:15:31 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-09 21:16:02 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-09 21:16:36 	[preliminary_checks] 	HindIII_T0 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-09 21:20:27 	[add_to_metadata] 	-t <table>, -s <sample_id>, -u <time_stamp> -a <attribute> and or -v <value> are not provided; exiting...
INFO 	2016-06-09 21:20:27 	[add_to_metadata] 	t=hic s=HindIII_T0 u=2016-06-09-21-15 a=SEQUENCING_FLOWCELL_LANE v=
INFO 	2016-06-09 21:20:27 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-06-09 21:20:29 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-06-09 21:20:31 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-09 21:20:31 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-09 21:21:06 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-09 21:21:06 	[preliminary_checks] 	step time for completion (seconds) = 272

INFO 	2016-06-09 21:21:08 	[raw_fastqs_quality_plots] 	restriction enzyme = HindIII
INFO 	2016-06-09 21:21:08 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-09 21:21:08 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T0/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-09 21:21:27 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-09 21:21:27 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-06-09 21:21:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-09 21:21:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-09 21:21:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-09 21:48:52 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-09 21:48:52 	[trim_reads_trimmomatic] 	reads after trimming = 75790273
INFO 	2016-06-09 21:49:16 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-09 21:49:16 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T0/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-09 21:49:16 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-09 21:49:16 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1667

INFO 	2016-06-09 21:49:18 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-09 21:49:18 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-09 21:49:18 	[align_and_merge] 	restriction enzyme = HindIII
INFO 	2016-06-09 21:49:18 	[align_and_merge] 	read length = 54
INFO 	2016-06-09 21:49:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-09 21:49:18 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-10 00:16:21 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T0/logs/hg38_mmtv/HindIII_T0_align_and_merge_paired_end.log
TIME 	2016-06-10 00:17:42 	[align_and_merge] 	step time for completion (seconds) = 8904

INFO 	2016-06-10 00:18:07 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-10 00:36:56 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.918614015284
INFO 	2016-06-10 00:36:56 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.915030402384
INFO 	2016-06-10 00:36:56 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 57204156
INFO 	2016-06-10 00:36:56 	[post_mapping_statistics] 	counts-to-distance slope = -1.0695282632
TIME 	2016-06-10 00:37:05 	[post_mapping_statistics] 	step time for completion (seconds) = 1138

INFO 	2016-06-10 00:37:15 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-10 00:37:15 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/HindIII_T0/results/hg38_mmtv/filtered_reads
