
INFO 	2016-08-23 14:47:33 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-08-23 14:47:33 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-08-23 14:47:33 	[configuration] 	data for RFP_1 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/RFP_1
INFO 	2016-08-23 14:47:33 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-08-23 14:47:56 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-08-23 14:48:39 	[preliminary_checks] 	RFP_1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-08-23 14:50:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-08-23 14:50:20 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-08-23 14:50:22 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-08-23 14:50:22 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-08-23 14:50:58 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-08-23 14:50:58 	[preliminary_checks] 	step time for completion (seconds) = 141

INFO 	2016-08-23 14:51:00 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-08-23 14:51:00 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-08-23 14:51:00 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/RFP_1/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-08-23 14:51:20 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-08-23 14:51:20 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-08-23 14:51:22 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-08-23 14:51:22 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-08-23 14:51:22 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-08-23 15:03:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-08-23 15:03:58 	[trim_reads_trimmomatic] 	reads after trimming = 23931092
INFO 	2016-08-23 15:04:20 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-08-23 15:04:20 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/RFP_1/fastqs_processed/trimmomatic/paired_end
INFO 	2016-08-23 15:04:20 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-08-23 15:04:20 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 778

INFO 	2016-08-23 15:04:22 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-08-23 15:04:22 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-08-23 15:04:22 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-08-23 15:04:22 	[align_and_merge] 	read length = 75
INFO 	2016-08-23 15:04:22 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-08-23 15:04:22 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-08-23 16:16:47 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/RFP_1/logs/hg38_mmtv/RFP_1_align_and_merge_paired_end.log
TIME 	2016-08-23 16:17:04 	[align_and_merge] 	step time for completion (seconds) = 4362

INFO 	2016-08-23 16:17:08 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-08-23 16:24:35 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.985032233381
INFO 	2016-08-23 16:24:35 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.847389788982
INFO 	2016-08-23 16:24:35 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 21326340
