
INFO 	2016-06-13 10:08:34 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:08:34 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:08:34 	[configuration] 	data for TE_1_2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2
INFO 	2016-06-13 10:08:34 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:09:03 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-13 10:09:39 	[preliminary_checks] 	TE_1_2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:18:46 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:18:48 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:18:50 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:18:50 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 10:19:27 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:19:27 	[preliminary_checks] 	step time for completion (seconds) = 589

INFO 	2016-06-13 10:19:29 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:19:29 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:19:29 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-13 10:19:49 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:19:49 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:19:51 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:19:51 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:19:51 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 11:21:52 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 11:21:52 	[trim_reads_trimmomatic] 	reads after trimming = 125845622
INFO 	2016-06-13 11:22:25 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 11:22:25 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 11:22:25 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 11:22:25 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3754

INFO 	2016-06-13 11:22:27 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-13 11:22:27 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-13 11:22:27 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 11:22:27 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 11:22:27 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 11:22:27 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-13 18:49:34 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/logs/hg38_mmtv/TE_1_2_align_and_merge_paired_end.log
TIME 	2016-06-13 18:51:47 	[align_and_merge] 	step time for completion (seconds) = 26960

INFO 	2016-06-13 18:52:04 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-13 19:22:36 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.01597157667
INFO 	2016-06-13 19:22:37 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.852769498807
INFO 	2016-06-13 19:22:37 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 82097340
INFO 	2016-06-13 19:22:37 	[post_mapping_statistics] 	counts-to-distance slope = -1.2185583633
TIME 	2016-06-13 19:22:45 	[post_mapping_statistics] 	step time for completion (seconds) = 1841

INFO 	2016-06-13 19:23:03 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-13 19:23:03 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/results/hg38_mmtv/filtered_reads
INFO 	2016-06-13 19:23:03 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-13 19:23:03 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-13 19:23:03 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-13 19:40:33 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-13 19:42:37 	[reads_filtering] 	step time for completion (seconds) = 1190

INFO 	2016-06-13 19:42:40 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/TE_1_2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-13 19:42:40 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-13 19:42:40 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-13 19:42:40 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-13 19:58:57 	[post_filtering_statistics] 	step time for completion (seconds) = 977

INFO 	2016-06-13 19:59:00 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 58 files...
TIME 	2016-06-13 21:20:38 	[map_to_bam] 	step time for completion (seconds) = 4898

