
INFO 	2016-07-08 13:10:50 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:10:50 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:10:50 	[configuration] 	data for ad1a9f5b0_b362a771d will be stored at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_b362a771d
INFO 	2016-07-08 13:10:50 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:10:59 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 13:11:24 	[preliminary_checks] 	ad1a9f5b0_b362a771d found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:29:30 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:29:31 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:29:33 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:29:33 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 13:29:57 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:29:57 	[preliminary_checks] 	step time for completion (seconds) = 1115

INFO 	2016-07-08 13:29:59 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:29:59 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:29:59 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_b362a771d/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 13:30:22 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:30:22 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-07-08 13:30:24 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:30:24 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:30:24 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 15:58:28 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 15:58:28 	[trim_reads_trimmomatic] 	reads after trimming = 298297818
INFO 	2016-07-08 15:58:49 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 15:58:49 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_b362a771d/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 15:58:49 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 15:58:49 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8905

INFO 	2016-07-08 15:58:51 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-07-08 15:58:51 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-07-08 15:58:51 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-07-08 15:58:51 	[align_and_merge] 	read length = 76
INFO 	2016-07-08 15:58:51 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 15:58:51 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-07-09 10:24:03 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_b362a771d/logs/hg38_mmtv/ad1a9f5b0_b362a771d_align_and_merge_paired_end.log
TIME 	2016-07-09 10:30:17 	[align_and_merge] 	step time for completion (seconds) = 66686

INFO 	2016-07-09 10:30:36 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-07-09 11:49:56 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.03351138827
INFO 	2016-07-09 11:49:56 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.01786032173
INFO 	2016-07-09 11:49:56 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 336931261
INFO 	2016-07-09 11:49:56 	[post_mapping_statistics] 	counts-to-distance slope = -1.19827051391
TIME 	2016-07-09 11:50:15 	[post_mapping_statistics] 	step time for completion (seconds) = 4779

INFO 	2016-07-09 11:51:03 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-07-09 11:51:03 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/ad1a9f5b0_b362a771d/results/hg38_mmtv/filtered_reads
