
INFO 	2016-05-17 15:42:11 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-17 15:42:11 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-17 15:42:11 	[configuration] 	data for b1913e6c1_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf
INFO 	2016-05-17 15:42:11 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-17 15:42:15 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-17 15:43:51 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-17 15:43:51 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-05-17 15:43:51 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-17 15:43:51 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-17 15:43:51 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-17 16:22:14 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-17 16:23:42 	[reads_filtering] 	step time for completion (seconds) = 2475


INFO 	2016-05-17 16:23:43 	[pipeline] 	completed successfully
TIME 	2016-05-17 16:23:43 	[pipeline] 	total time for completion (seconds) = 2492

