
INFO 	2016-07-12 16:48:34 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-12 16:48:34 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-12 16:48:34 	[configuration] 	data for b742f3789_128e263fa will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_128e263fa
INFO 	2016-07-12 16:48:34 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-12 16:48:43 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-07-12 16:49:09 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-07-12 22:46:11 	[downstream_bam] 	number of TADs = 2182
TIME 	2016-07-12 22:46:25 	[downstream_bam] 	step time for completion (seconds) = 21436


INFO 	2016-07-12 22:46:27 	[pipeline] 	completed successfully
TIME 	2016-07-12 22:46:27 	[pipeline] 	total time for completion (seconds) = 21473

