
INFO 	2016-06-13 10:10:18 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:10:18 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:10:18 	[configuration] 	data for b742f3789_181aff666 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666
INFO 	2016-06-13 10:10:18 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:10:25 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:10:46 	[preliminary_checks] 	b742f3789_181aff666 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:14:15 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:14:16 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:14:18 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:14:18 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:14:35 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:14:35 	[preliminary_checks] 	step time for completion (seconds) = 230

INFO 	2016-06-13 10:14:37 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:14:37 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:14:37 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:14:58 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:14:58 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-06-13 10:15:00 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:15:00 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:15:00 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 10:46:30 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 10:46:30 	[trim_reads_trimmomatic] 	reads after trimming = 59471412
INFO 	2016-06-13 10:46:49 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 10:46:49 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 10:46:49 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 10:46:49 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1909

INFO 	2016-06-13 10:46:51 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 10:46:51 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 10:46:51 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:46:51 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 10:46:51 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:46:51 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-13 13:53:28 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/logs/mm10/b742f3789_181aff666_align_and_merge_paired_end.log
TIME 	2016-06-13 13:55:02 	[align_and_merge] 	step time for completion (seconds) = 11292

INFO 	2016-06-13 13:55:04 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-13 14:10:56 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.951860651972
INFO 	2016-06-13 14:10:56 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.935169304539
INFO 	2016-06-13 14:10:56 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 39854433
INFO 	2016-06-13 14:10:56 	[post_mapping_statistics] 	counts-to-distance slope = -1.13753428
TIME 	2016-06-13 14:11:03 	[post_mapping_statistics] 	step time for completion (seconds) = 959

INFO 	2016-06-13 14:11:13 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-13 14:11:13 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/filtered_reads
INFO 	2016-06-13 14:11:13 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/excluded_reads/dangling_ends
