
INFO 	2016-06-14 18:58:35 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-14 18:58:35 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 18:58:35 	[configuration] 	data for b742f3789_60e765bf7 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7
INFO 	2016-06-14 18:58:35 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-14 18:58:43 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-14 18:59:04 	[preliminary_checks] 	b742f3789_60e765bf7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 19:16:16 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-14 19:16:18 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-14 19:16:19 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-14 19:16:19 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-14 19:16:21 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-14 19:16:35 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-14 19:16:35 	[preliminary_checks] 	step time for completion (seconds) = 1053

INFO 	2016-06-14 19:16:37 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-14 19:16:37 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-14 19:16:37 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-14 19:16:55 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-14 19:16:55 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 18

INFO 	2016-06-14 19:16:57 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-14 19:16:57 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-14 19:16:57 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-14 21:33:35 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-14 21:33:35 	[trim_reads_trimmomatic] 	reads after trimming = 272782794
INFO 	2016-06-14 21:33:58 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-14 21:33:58 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-14 21:33:58 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-14 21:33:58 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8221

INFO 	2016-06-14 21:34:00 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-14 21:34:00 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-14 21:34:00 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-14 21:34:00 	[align_and_merge] 	read length = 75
INFO 	2016-06-14 21:34:00 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-14 21:34:00 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-15 12:02:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/logs/mm10/b742f3789_60e765bf7_align_and_merge_paired_end.log
TIME 	2016-06-15 12:08:50 	[align_and_merge] 	step time for completion (seconds) = 52490

INFO 	2016-06-15 12:09:18 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-15 13:16:57 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.975040199933
INFO 	2016-06-15 13:16:57 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.974011681983
INFO 	2016-06-15 13:16:57 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 186068178
INFO 	2016-06-15 13:16:57 	[post_mapping_statistics] 	counts-to-distance slope = -0.912033414805
TIME 	2016-06-15 13:17:04 	[post_mapping_statistics] 	step time for completion (seconds) = 4066

INFO 	2016-06-15 13:17:42 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-15 13:17:42 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/results/mm10/filtered_reads
INFO 	2016-06-15 13:17:42 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-15 13:17:42 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/results/mm10/excluded_reads/self_circle
INFO 	2016-06-15 13:17:42 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-15 13:56:26 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-15 14:02:11 	[reads_filtering] 	step time for completion (seconds) = 2706

INFO 	2016-06-15 14:02:13 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/plots/mm10/post_filtering_statistics:
INFO 	2016-06-15 14:02:13 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-15 14:02:13 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-15 14:02:13 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-15 14:41:50 	[post_filtering_statistics] 	step time for completion (seconds) = 2377

INFO 	2016-06-15 14:41:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 138 files...
TIME 	2016-06-15 17:54:22 	[map_to_bam] 	step time for completion (seconds) = 11550

INFO 	2016-06-15 17:54:35 	[downstream_bam] 	perform several downstream analyses
ls: cannot access /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/downstream/mm10/b742f3789_60e765bf7_tads*tsv: No such file or directory
basename: missing operand
Try `basename --help' for more information.
grep: /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/downstream/mm10/b742f3789_60e765bf7_tads_*.tsv: No such file or directory
rm: cannot remove `/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/downstream/mm10/b742f3789_60e765bf7_tads_chr*': No such file or directory
INFO 	2016-06-15 19:59:14 	[downstream_bam] 	number of TADs = 0
TIME 	2016-06-15 19:59:24 	[downstream_bam] 	step time for completion (seconds) = 7489

INFO 	2016-06-15 19:59:26 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-15 19:59:26 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/fastqs_processed
INFO 	2016-06-15 19:59:26 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_60e765bf7/mapped_reads
TIME 	2016-06-15 19:59:26 	[clean_up] 	step time for completion (seconds) = 0


INFO 	2016-06-15 19:59:28 	[pipeline] 	completed successfully
TIME 	2016-06-15 19:59:28 	[pipeline] 	total time for completion (seconds) = 90053

