
INFO 	2016-06-13 10:11:15 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:11:15 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:11:15 	[configuration] 	data for b742f3789_6f4a57606 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606
INFO 	2016-06-13 10:11:15 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:11:25 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:11:51 	[preliminary_checks] 	b742f3789_6f4a57606 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:15:08 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:15:10 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:15:11 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:15:11 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:15:28 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:15:28 	[preliminary_checks] 	step time for completion (seconds) = 219

INFO 	2016-06-13 10:15:30 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:15:30 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:15:30 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:15:51 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:15:51 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-06-13 10:15:53 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:15:53 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:15:53 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 10:45:29 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 10:45:29 	[trim_reads_trimmomatic] 	reads after trimming = 53839545
INFO 	2016-06-13 10:45:51 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 10:45:51 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 10:45:51 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 10:45:51 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1798

INFO 	2016-06-13 10:45:53 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 10:45:53 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 10:45:53 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:45:53 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 10:45:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:45:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-13 13:36:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/logs/mm10/b742f3789_6f4a57606_align_and_merge_paired_end.log
TIME 	2016-06-13 13:38:27 	[align_and_merge] 	step time for completion (seconds) = 10354

INFO 	2016-06-13 13:38:42 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-13 13:53:19 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.9661613225
INFO 	2016-06-13 13:53:19 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.948092169055
INFO 	2016-06-13 13:53:19 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 35859826
INFO 	2016-06-13 13:53:19 	[post_mapping_statistics] 	counts-to-distance slope = -0.913663756027
TIME 	2016-06-13 13:53:29 	[post_mapping_statistics] 	step time for completion (seconds) = 887

INFO 	2016-06-13 13:53:40 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-13 13:53:40 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/results/mm10/filtered_reads
INFO 	2016-06-13 13:53:40 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-13 13:53:40 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/results/mm10/excluded_reads/self_circle
INFO 	2016-06-13 13:53:40 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-13 14:02:23 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-13 14:03:55 	[reads_filtering] 	step time for completion (seconds) = 623

INFO 	2016-06-13 14:03:58 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/plots/mm10/post_filtering_statistics:
INFO 	2016-06-13 14:03:58 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-13 14:03:58 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-13 14:03:58 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-13 14:12:33 	[post_filtering_statistics] 	step time for completion (seconds) = 515

INFO 	2016-06-13 14:12:37 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 27 files...
TIME 	2016-06-13 14:50:43 	[map_to_bam] 	step time for completion (seconds) = 2286

INFO 	2016-06-13 14:50:46 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-13 15:23:25 	[downstream_bam] 	number of TADs = 2075
TIME 	2016-06-13 15:23:46 	[downstream_bam] 	step time for completion (seconds) = 1981

INFO 	2016-06-13 15:23:48 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-13 15:23:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_6f4a57606/fastqs_processed
