
INFO 	2016-06-13 11:27:52 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 11:27:52 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:27:52 	[configuration] 	data for b742f3789_80949b1c7 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_80949b1c7
INFO 	2016-06-13 11:27:52 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 11:27:59 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 11:28:16 	[preliminary_checks] 	b742f3789_80949b1c7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:47:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 11:47:20 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-13 11:47:22 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-13 11:47:22 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-13 11:47:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 11:47:46 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 11:47:46 	[preliminary_checks] 	step time for completion (seconds) = 1171

INFO 	2016-06-13 11:47:47 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 11:47:47 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 11:47:48 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_80949b1c7/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 11:48:13 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 11:48:13 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-06-13 11:48:15 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 11:48:15 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 11:48:15 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 14:15:20 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 14:15:20 	[trim_reads_trimmomatic] 	reads after trimming = 341395754
INFO 	2016-06-13 14:15:39 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 14:15:39 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_80949b1c7/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 14:15:39 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 14:15:39 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8845

INFO 	2016-06-13 14:15:41 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 14:15:41 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 14:15:41 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 14:15:41 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 14:15:41 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 14:15:41 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 10:33:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_80949b1c7/logs/mm10/b742f3789_80949b1c7_align_and_merge_paired_end.log
TIME 	2016-06-14 10:45:00 	[align_and_merge] 	step time for completion (seconds) = 73759

INFO 	2016-06-14 10:45:13 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 12:12:46 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.968667114706
INFO 	2016-06-14 12:12:46 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.96482712553
INFO 	2016-06-14 12:12:46 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 233381462
INFO 	2016-06-14 12:12:46 	[post_mapping_statistics] 	counts-to-distance slope = -0.906280341364
TIME 	2016-06-14 12:12:51 	[post_mapping_statistics] 	step time for completion (seconds) = 5258

INFO 	2016-06-14 12:13:31 	[reads_filtering] 	filtering reads based on multiple quality parameters...
