
INFO 	2016-06-13 12:11:58 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 12:11:58 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 12:11:58 	[configuration] 	data for b742f3789_a2cb62cb9 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9
INFO 	2016-06-13 12:11:58 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 12:12:04 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 12:12:30 	[preliminary_checks] 	b742f3789_a2cb62cb9 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 12:33:04 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 12:33:06 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-13 12:33:08 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-13 12:33:08 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-13 12:33:10 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 12:33:43 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 12:33:43 	[preliminary_checks] 	step time for completion (seconds) = 1274

INFO 	2016-06-13 12:33:45 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 12:33:45 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 12:33:45 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 12:34:13 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 12:34:13 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 28

INFO 	2016-06-13 12:34:15 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 12:34:15 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 12:34:15 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 15:09:44 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 15:09:44 	[trim_reads_trimmomatic] 	reads after trimming = 302182179
INFO 	2016-06-13 15:10:12 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 15:10:12 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 15:10:12 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 15:10:12 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 9357

INFO 	2016-06-13 15:10:14 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 15:10:14 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 15:10:14 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 15:10:14 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 15:10:14 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 15:10:14 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 07:52:15 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/logs/mm10/b742f3789_a2cb62cb9_align_and_merge_paired_end.log
TIME 	2016-06-14 08:06:11 	[align_and_merge] 	step time for completion (seconds) = 60957

INFO 	2016-06-14 08:06:42 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 09:19:50 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.955938870902
INFO 	2016-06-14 09:19:50 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.94633197413
INFO 	2016-06-14 09:19:50 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 206035403
INFO 	2016-06-14 09:19:50 	[post_mapping_statistics] 	counts-to-distance slope = -1.00618732612
TIME 	2016-06-14 09:19:57 	[post_mapping_statistics] 	step time for completion (seconds) = 4395

INFO 	2016-06-14 09:20:40 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 09:20:40 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/results/mm10/filtered_reads
INFO 	2016-06-14 09:20:40 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-14 09:20:40 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/results/mm10/excluded_reads/self_circle
INFO 	2016-06-14 09:20:40 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 10:04:22 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 10:10:17 	[reads_filtering] 	step time for completion (seconds) = 3018

INFO 	2016-06-14 10:10:20 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/plots/mm10/post_filtering_statistics:
INFO 	2016-06-14 10:10:20 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-14 10:10:20 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-14 10:10:20 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-14 10:48:30 	[post_filtering_statistics] 	step time for completion (seconds) = 2290

INFO 	2016-06-14 10:48:32 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 147 files...
TIME 	2016-06-14 14:12:50 	[map_to_bam] 	step time for completion (seconds) = 12258

INFO 	2016-06-14 14:12:59 	[downstream_bam] 	perform several downstream analyses
ls: cannot access /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/downstream/mm10/b742f3789_a2cb62cb9_tads*tsv: No such file or directory
basename: missing operand
Try `basename --help' for more information.
grep: /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/downstream/mm10/b742f3789_a2cb62cb9_tads_*.tsv: No such file or directory
rm: cannot remove `/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/downstream/mm10/b742f3789_a2cb62cb9_tads_chr*': No such file or directory
INFO 	2016-06-14 16:15:40 	[downstream_bam] 	number of TADs = 0
TIME 	2016-06-14 16:15:52 	[downstream_bam] 	step time for completion (seconds) = 7373

INFO 	2016-06-14 16:15:53 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-14 16:15:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/fastqs_processed
INFO 	2016-06-14 16:15:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9/mapped_reads
TIME 	2016-06-14 16:15:54 	[clean_up] 	step time for completion (seconds) = 1


INFO 	2016-06-14 16:15:56 	[pipeline] 	completed successfully
TIME 	2016-06-14 16:15:56 	[pipeline] 	total time for completion (seconds) = 101038

