
INFO 	2016-06-27 16:06:26 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-27 16:06:26 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-27 16:06:26 	[configuration] 	data for b742f3789_a2cb62cb9 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_a2cb62cb9
INFO 	2016-06-27 16:06:26 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-27 16:06:34 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-27 16:06:56 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-27 21:49:20 	[downstream_bam] 	number of TADs = 2189
TIME 	2016-06-27 21:49:31 	[downstream_bam] 	step time for completion (seconds) = 20555


INFO 	2016-06-27 21:49:32 	[pipeline] 	completed successfully
TIME 	2016-06-27 21:49:32 	[pipeline] 	total time for completion (seconds) = 20586

