
INFO 	2016-06-13 10:10:38 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:10:38 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:10:38 	[configuration] 	data for b7fa2d8db_98bc1df37 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37
INFO 	2016-06-13 10:10:38 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:10:46 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:11:08 	[preliminary_checks] 	b7fa2d8db_98bc1df37 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:14:18 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:14:20 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:14:21 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:14:21 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:14:38 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:14:38 	[preliminary_checks] 	step time for completion (seconds) = 211

INFO 	2016-06-13 10:14:39 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:14:39 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:14:39 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_98bc1df37/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:14:59 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:14:59 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:15:01 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:15:01 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:15:01 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
