
INFO 	2016-09-12 15:53:44 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-09-12 15:53:44 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-12 15:53:44 	[configuration] 	data for cb6b65581_dc9651655 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_dc9651655
INFO 	2016-09-12 15:53:44 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-09-12 15:54:22 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-09-12 15:55:01 	[preliminary_checks] 	cb6b65581_dc9651655 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-12 15:56:05 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-09-12 15:56:07 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-09-12 15:56:09 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-09-12 15:56:09 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-09-12 15:56:44 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-09-12 15:56:44 	[preliminary_checks] 	step time for completion (seconds) = 105

INFO 	2016-09-12 15:56:46 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-09-12 15:56:46 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-09-12 15:56:46 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/cb6b65581_dc9651655/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-09-12 15:57:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-09-12 15:57:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-09-12 15:57:08 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-09-12 15:57:08 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-09-12 15:57:08 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-09-12 16:05:09 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
