
INFO 	2016-06-27 16:05:26 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-27 16:05:26 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-27 16:05:26 	[configuration] 	data for d4e07ef90_0e24fcc35 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_0e24fcc35
INFO 	2016-06-27 16:05:26 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-27 16:05:33 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-27 16:05:56 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-27 21:56:59 	[downstream_bam] 	number of TADs = 3036
TIME 	2016-06-27 21:57:10 	[downstream_bam] 	step time for completion (seconds) = 21074


INFO 	2016-06-27 21:57:12 	[pipeline] 	completed successfully
TIME 	2016-06-27 21:57:12 	[pipeline] 	total time for completion (seconds) = 21106

