
INFO 	2016-06-08 11:22:24 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:22:24 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:22:24 	[configuration] 	data for d4e07ef90_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf
INFO 	2016-06-08 11:22:24 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:22:32 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-08 11:22:56 	[preliminary_checks] 	d4e07ef90_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:34:22 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-08 11:34:24 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:34:26 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:34:26 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:34:44 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:34:44 	[preliminary_checks] 	step time for completion (seconds) = 709

INFO 	2016-06-08 11:34:46 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:34:46 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:34:46 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-08 11:35:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:35:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 12:52:29 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 12:52:30 	[trim_reads_trimmomatic] 	reads after trimming = 155759376
INFO 	2016-06-08 12:53:07 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 12:53:07 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 12:53:07 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 12:53:07 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4678

INFO 	2016-06-08 12:53:09 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-08 12:53:09 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-08 12:53:09 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-08 12:53:09 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 12:53:09 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 12:53:09 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 20:39:23 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/logs/hg38_mmtv/d4e07ef90_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-06-08 20:41:56 	[align_and_merge] 	step time for completion (seconds) = 28127

INFO 	2016-06-08 20:42:14 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-08 21:19:24 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.971689948219
INFO 	2016-06-08 21:19:24 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.939874373919
INFO 	2016-06-08 21:19:24 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 115523538
INFO 	2016-06-08 21:19:24 	[post_mapping_statistics] 	counts-to-distance slope = -1.15571580606
TIME 	2016-06-08 21:19:48 	[post_mapping_statistics] 	step time for completion (seconds) = 2254

INFO 	2016-06-08 21:20:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-08 21:20:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-06-08 21:20:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-08 21:20:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-08 21:20:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-08 21:44:35 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-08 21:46:09 	[reads_filtering] 	step time for completion (seconds) = 1579

INFO 	2016-06-08 21:46:19 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-08 21:46:19 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-08 21:46:19 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-08 21:46:19 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
