
INFO 	2016-06-14 18:14:06 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-14 18:14:06 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 18:14:06 	[configuration] 	data for e22e868a9_74a857597 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597
INFO 	2016-06-14 18:14:06 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-14 18:14:11 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-14 18:14:30 	[preliminary_checks] 	e22e868a9_74a857597 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 18:21:22 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-14 18:21:23 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 18:21:25 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 18:21:25 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-14 18:21:59 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-14 18:21:59 	[preliminary_checks] 	step time for completion (seconds) = 450

INFO 	2016-06-14 18:22:01 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-14 18:22:01 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-14 18:22:01 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-14 18:22:24 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-14 18:22:24 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-06-14 18:22:26 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-14 18:22:26 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-14 18:22:26 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-14 19:21:43 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-14 19:21:43 	[trim_reads_trimmomatic] 	reads after trimming = 113001841
INFO 	2016-06-14 19:22:05 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-14 19:22:05 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_74a857597/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-14 19:22:05 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-14 19:22:05 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3579

INFO 	2016-06-14 19:22:06 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-14 19:22:06 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-14 19:22:06 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-14 19:22:06 	[align_and_merge] 	read length = 76
