
INFO 	2016-06-08 11:31:57 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:31:57 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:31:57 	[configuration] 	data for e22e868a9_869faec68 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68
INFO 	2016-06-08 11:31:57 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:32:05 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-08 11:32:28 	[preliminary_checks] 	e22e868a9_869faec68 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:35:03 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-06-08 11:35:05 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
WARN 	2016-06-08 11:35:06 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-08 11:35:06 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-08 11:35:08 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:35:26 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:35:26 	[preliminary_checks] 	step time for completion (seconds) = 180

INFO 	2016-06-08 11:35:28 	[raw_fastqs_quality_plots] 	restriction enzyme = HindIII
INFO 	2016-06-08 11:35:28 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:35:28 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-08 11:35:48 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:35:48 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-08 11:35:50 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:35:50 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:35:50 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 11:58:15 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 11:58:15 	[trim_reads_trimmomatic] 	reads after trimming = 42963292
INFO 	2016-06-08 11:58:36 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 11:58:36 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 11:58:36 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 11:58:36 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1366

INFO 	2016-06-08 11:58:38 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-08 11:58:38 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-08 11:58:38 	[align_and_merge] 	restriction enzyme = HindIII
INFO 	2016-06-08 11:58:38 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 11:58:38 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:58:38 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 14:03:25 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/logs/hg38_mmtv/e22e868a9_869faec68_align_and_merge_paired_end.log
TIME 	2016-06-08 14:04:35 	[align_and_merge] 	step time for completion (seconds) = 7558

INFO 	2016-06-08 14:04:50 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-08 14:20:38 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.0735286067
INFO 	2016-06-08 14:20:39 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.04865230067
INFO 	2016-06-08 14:20:39 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 25838770
INFO 	2016-06-08 14:20:39 	[post_mapping_statistics] 	counts-to-distance slope = -1.13750009926
TIME 	2016-06-08 14:20:47 	[post_mapping_statistics] 	step time for completion (seconds) = 957

INFO 	2016-06-08 14:20:56 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-08 14:20:56 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/filtered_reads
INFO 	2016-06-08 14:20:56 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-08 14:20:56 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-08 14:20:56 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-08 14:29:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-08 14:30:05 	[reads_filtering] 	step time for completion (seconds) = 556

INFO 	2016-06-08 14:30:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-08 14:30:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-08 14:30:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-08 14:30:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-08 14:39:10 	[post_filtering_statistics] 	step time for completion (seconds) = 543

INFO 	2016-06-08 14:39:13 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 30 files...
TIME 	2016-06-08 15:20:18 	[map_to_bam] 	step time for completion (seconds) = 2465

INFO 	2016-06-08 15:20:21 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-08 15:56:42 	[downstream_bam] 	number of TADs = 1693
TIME 	2016-06-08 15:56:53 	[downstream_bam] 	step time for completion (seconds) = 2192

INFO 	2016-06-08 15:56:55 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-08 15:56:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/fastqs_processed
INFO 	2016-06-08 15:56:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/mapped_reads
TIME 	2016-06-08 15:57:00 	[clean_up] 	step time for completion (seconds) = 5


INFO 	2016-06-08 15:57:03 	[pipeline] 	completed successfully
TIME 	2016-06-08 15:57:03 	[pipeline] 	total time for completion (seconds) = 15906

