
INFO 	2016-06-08 11:31:53 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:31:53 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:31:53 	[configuration] 	data for e22e868a9_d222de8ea will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea
INFO 	2016-06-08 11:31:53 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:32:00 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-08 11:32:26 	[preliminary_checks] 	e22e868a9_d222de8ea found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:34:24 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-06-08 11:34:26 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
WARN 	2016-06-08 11:34:28 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-08 11:34:28 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-08 11:34:29 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:34:45 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:34:45 	[preliminary_checks] 	step time for completion (seconds) = 141

INFO 	2016-06-08 11:34:47 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:34:47 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:34:47 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-08 11:35:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:35:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:35:09 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 11:52:02 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 11:52:02 	[trim_reads_trimmomatic] 	reads after trimming = 31354821
INFO 	2016-06-08 11:52:33 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 11:52:33 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 11:52:33 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 11:52:33 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1044

INFO 	2016-06-08 11:52:35 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-08 11:52:35 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-08 11:52:35 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:52:35 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 11:52:35 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-08 11:52:35 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 13:26:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/logs/hg38_mmtv/e22e868a9_d222de8ea_align_and_merge_paired_end.log
TIME 	2016-06-08 13:26:32 	[align_and_merge] 	step time for completion (seconds) = 5637

INFO 	2016-06-08 13:26:49 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-08 13:37:08 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.00557308237
INFO 	2016-06-08 13:37:08 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.98473453253
INFO 	2016-06-08 13:37:08 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 23115925
INFO 	2016-06-08 13:37:08 	[post_mapping_statistics] 	counts-to-distance slope = -1.09774758839
TIME 	2016-06-08 13:37:17 	[post_mapping_statistics] 	step time for completion (seconds) = 628

INFO 	2016-06-08 13:37:23 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-08 13:37:23 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/filtered_reads
INFO 	2016-06-08 13:37:23 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-08 13:37:23 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-08 13:37:23 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_d222de8ea/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-08 13:42:25 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-08 13:42:50 	[reads_filtering] 	step time for completion (seconds) = 331

