
INFO 	2016-06-13 10:16:07 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:16:07 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:16:07 	[configuration] 	data for e4aa8d54f_467f847a2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2
INFO 	2016-06-13 10:16:07 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:16:14 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-13 10:16:36 	[preliminary_checks] 	e4aa8d54f_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:36:26 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:36:28 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:36:29 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:36:29 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 10:37:11 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:37:11 	[preliminary_checks] 	step time for completion (seconds) = 1237

INFO 	2016-06-13 10:37:12 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:37:12 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:37:12 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-13 10:37:32 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:37:32 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:37:33 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:37:33 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
