
INFO 	2016-06-08 11:21:07 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:21:07 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:21:07 	[configuration] 	data for e6588f786_d258bd3a6 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6
INFO 	2016-06-08 11:21:07 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:21:16 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-08 11:21:47 	[preliminary_checks] 	e6588f786_d258bd3a6 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:36:30 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-08 11:36:32 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:36:34 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-08 11:36:34 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-08 11:36:52 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:36:52 	[preliminary_checks] 	step time for completion (seconds) = 906

INFO 	2016-06-08 11:36:54 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:36:54 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:36:54 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-08 11:37:29 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:37:29 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 35

INFO 	2016-06-08 11:37:31 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:37:31 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:37:31 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 13:19:20 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 13:19:20 	[trim_reads_trimmomatic] 	reads after trimming = 199888992
INFO 	2016-06-08 13:19:43 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 13:19:43 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 13:19:43 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 13:19:43 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6132

INFO 	2016-06-08 13:19:45 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-08 13:19:45 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-08 13:19:45 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-08 13:19:45 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 13:19:45 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-08 13:19:45 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 23:55:10 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/logs/mm10/e6588f786_d258bd3a6_align_and_merge_paired_end.log
TIME 	2016-06-08 23:57:25 	[align_and_merge] 	step time for completion (seconds) = 38260

INFO 	2016-06-08 23:57:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-09 00:24:26 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.685145833343
INFO 	2016-06-09 00:24:26 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.688860850326
INFO 	2016-06-09 00:24:26 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 77304659
INFO 	2016-06-09 00:24:26 	[post_mapping_statistics] 	counts-to-distance slope = -0.982567050125
TIME 	2016-06-09 00:24:37 	[post_mapping_statistics] 	step time for completion (seconds) = 1628

INFO 	2016-06-09 00:24:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-09 00:24:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/results/mm10/filtered_reads
INFO 	2016-06-09 00:24:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-09 00:24:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/results/mm10/excluded_reads/self_circle
INFO 	2016-06-09 00:24:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-09 00:40:56 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-09 00:42:05 	[reads_filtering] 	step time for completion (seconds) = 1046

INFO 	2016-06-09 00:42:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/plots/mm10/post_filtering_statistics:
INFO 	2016-06-09 00:42:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-09 00:42:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-09 00:42:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-09 00:53:52 	[post_filtering_statistics] 	step time for completion (seconds) = 705

INFO 	2016-06-09 00:54:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 54 files...
TIME 	2016-06-09 02:08:32 	[map_to_bam] 	step time for completion (seconds) = 4466

INFO 	2016-06-09 02:08:35 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-09 06:10:46 	[downstream_bam] 	number of TADs = 2244
TIME 	2016-06-09 06:11:05 	[downstream_bam] 	step time for completion (seconds) = 14550

INFO 	2016-06-09 06:11:07 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-09 06:11:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/fastqs_processed
INFO 	2016-06-09 06:11:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_d258bd3a6/mapped_reads
TIME 	2016-06-09 06:11:08 	[clean_up] 	step time for completion (seconds) = 1


INFO 	2016-06-09 06:11:10 	[pipeline] 	completed successfully
TIME 	2016-06-09 06:11:10 	[pipeline] 	total time for completion (seconds) = 67803

