
INFO 	2016-06-13 10:15:15 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:15:15 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:15:15 	[configuration] 	data for eaed0e91e_467f847a2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2
INFO 	2016-06-13 10:15:15 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:15:23 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-13 10:15:47 	[preliminary_checks] 	eaed0e91e_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:36:17 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:36:18 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:36:20 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:36:20 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 10:36:48 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:36:48 	[preliminary_checks] 	step time for completion (seconds) = 1263

INFO 	2016-06-13 10:36:50 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:36:50 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:36:50 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-13 10:37:10 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:37:10 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:37:12 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:37:12 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:37:12 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:03:59 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:04:00 	[trim_reads_trimmomatic] 	reads after trimming = 282681946
INFO 	2016-06-13 13:04:33 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 13:04:33 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 13:04:33 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 13:04:34 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8842

INFO 	2016-06-13 13:04:36 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-13 13:04:36 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-13 13:04:36 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 13:04:36 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 13:04:36 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 13:04:36 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 09:55:00 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/logs/hg38_mmtv/eaed0e91e_467f847a2_align_and_merge_paired_end.log
TIME 	2016-06-14 10:04:28 	[align_and_merge] 	step time for completion (seconds) = 75592

INFO 	2016-06-14 10:04:46 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 11:20:57 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.04233973966
INFO 	2016-06-14 11:20:57 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.02834237246
INFO 	2016-06-14 11:20:57 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 207156006
INFO 	2016-06-14 11:20:57 	[post_mapping_statistics] 	counts-to-distance slope = -1.24625357528
TIME 	2016-06-14 11:21:04 	[post_mapping_statistics] 	step time for completion (seconds) = 4579

INFO 	2016-06-14 11:21:48 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 11:21:48 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/filtered_reads
INFO 	2016-06-14 11:21:48 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-14 11:21:48 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-14 11:21:48 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 12:06:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 12:10:41 	[reads_filtering] 	step time for completion (seconds) = 2975

INFO 	2016-06-14 12:10:43 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-14 12:10:43 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
