
INFO 	2016-06-14 21:17:42 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-14 21:17:42 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 21:17:42 	[configuration] 	data for eaed0e91e_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_7bf1478ce
INFO 	2016-06-14 21:17:42 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-14 21:17:48 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-14 21:18:13 	[preliminary_checks] 	eaed0e91e_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-14 21:32:30 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-14 21:32:31 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 21:32:33 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-14 21:32:33 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-14 21:33:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-14 21:33:08 	[preliminary_checks] 	step time for completion (seconds) = 896

INFO 	2016-06-14 21:33:10 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-14 21:33:10 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-14 21:33:10 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-14 21:33:33 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-14 21:33:33 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-06-14 21:33:35 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-14 21:33:35 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-14 21:33:35 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-14 23:07:57 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-14 23:07:57 	[trim_reads_trimmomatic] 	reads after trimming = 190990722
INFO 	2016-06-14 23:08:21 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-14 23:08:21 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-14 23:08:21 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-14 23:08:21 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5687

INFO 	2016-06-14 23:08:24 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-14 23:08:24 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-14 23:08:24 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-14 23:08:24 	[align_and_merge] 	read length = 75
INFO 	2016-06-14 23:08:24 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-14 23:08:24 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-15 10:11:26 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_7bf1478ce/logs/hg38_mmtv/eaed0e91e_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-06-15 10:19:42 	[align_and_merge] 	step time for completion (seconds) = 40279

INFO 	2016-06-15 10:20:00 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-15 11:13:34 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.0518793159
INFO 	2016-06-15 11:13:34 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.03429683878
INFO 	2016-06-15 11:13:34 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 138619663
INFO 	2016-06-15 11:13:34 	[post_mapping_statistics] 	counts-to-distance slope = -1.24595866469
