
INFO 	2016-06-16 18:18:34 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-16 18:18:34 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-16 18:18:34 	[configuration] 	data for fc3e8b36a_38bfd1b33 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33
INFO 	2016-06-16 18:18:34 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-16 18:19:04 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-16 18:19:40 	[preliminary_checks] 	fc3e8b36a_38bfd1b33 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-16 18:44:41 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-16 18:44:43 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-16 18:44:44 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-16 18:44:45 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-16 18:45:09 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-16 18:45:09 	[preliminary_checks] 	step time for completion (seconds) = 1531

INFO 	2016-06-16 18:45:10 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-16 18:45:10 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-16 18:45:10 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-16 18:45:35 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-16 18:45:35 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 25

INFO 	2016-06-16 18:45:37 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-16 18:45:37 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-16 18:45:37 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-16 21:34:38 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-16 21:34:39 	[trim_reads_trimmomatic] 	reads after trimming = 332001472
INFO 	2016-06-16 21:35:07 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-16 21:35:07 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-16 21:35:07 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-16 21:35:07 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10170

INFO 	2016-06-16 21:35:09 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-16 21:35:09 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-16 21:35:09 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-16 21:35:09 	[align_and_merge] 	read length = 75
INFO 	2016-06-16 21:35:09 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-16 21:35:09 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-17 17:28:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/logs/mm10/fc3e8b36a_38bfd1b33_align_and_merge_paired_end.log
TIME 	2016-06-17 17:35:30 	[align_and_merge] 	step time for completion (seconds) = 72021

INFO 	2016-06-17 17:35:57 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-17 19:02:52 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.00735523245
INFO 	2016-06-17 19:02:52 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.00579866706
INFO 	2016-06-17 19:02:52 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 214738017
INFO 	2016-06-17 19:02:52 	[post_mapping_statistics] 	counts-to-distance slope = -1.26006388201
TIME 	2016-06-17 19:03:12 	[post_mapping_statistics] 	step time for completion (seconds) = 5236

INFO 	2016-06-17 19:04:02 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-17 19:04:02 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/results/mm10/filtered_reads
INFO 	2016-06-17 19:04:02 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-17 19:04:02 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/results/mm10/excluded_reads/self_circle
INFO 	2016-06-17 19:04:02 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-17 19:53:58 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-17 19:59:28 	[reads_filtering] 	step time for completion (seconds) = 3374

INFO 	2016-06-17 19:59:31 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/plots/mm10/post_filtering_statistics:
INFO 	2016-06-17 19:59:31 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-17 19:59:31 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-17 19:59:31 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-17 20:48:23 	[post_filtering_statistics] 	step time for completion (seconds) = 2932

INFO 	2016-06-17 20:48:26 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 181 files...
TIME 	2016-06-18 00:53:27 	[map_to_bam] 	step time for completion (seconds) = 14701

INFO 	2016-06-18 00:53:53 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-18 07:28:18 	[downstream_bam] 	number of TADs = 2722
TIME 	2016-06-18 07:28:44 	[downstream_bam] 	step time for completion (seconds) = 23691

INFO 	2016-06-18 07:28:46 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-18 07:28:46 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/fastqs_processed
INFO 	2016-06-18 07:28:46 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_38bfd1b33/mapped_reads
TIME 	2016-06-18 07:30:49 	[clean_up] 	step time for completion (seconds) = 123


INFO 	2016-06-18 07:30:52 	[pipeline] 	completed successfully
TIME 	2016-06-18 07:30:52 	[pipeline] 	total time for completion (seconds) = 133938

